place,year,admined,longitude,latitude
China,2021,308226000,104.195397,35.86166
India,2021,165190000,78.96288,20.593684
United Kingdom,2021,52433184,-3.435973,55.378051
Brazil,2021,46875460,-51.92528,-14.235004
Germany,2021,34408840,10.451526,51.165691
California,2021,33440000,-119.417932,36.778261
France,2021,25186918,2.213749,46.227638
Turkey,2021,24691044,35.243322,38.963745
Italy,2021,23193606,12.56738,41.87194
Indonesia,2021,21666868,113.921327,-0.789275
Russia,2021,21296747,105.318756,61.52401
Mexico,2021,21008618,-102.552784,23.634501
Texas,2021,20300000,-99.901813,31.968599
Spain,2021,19000000,-3.74922,40.463667
New York State,2021,17170000,-74.217933,43.299428
Florida,2021,16600000,-81.515754,27.664827
Chile,2021,15679145,-71.542969,-35.675147
Canada,2021,15325183,-106.346771,56.130366
Poland,2021,13409463,19.145136,51.919438
United Arab Emirates,2021,11048547,53.847818,23.424076
Pennsylvania,2021,11010000,-77.194525,41.203322
Jordan,2021,10900000,36.238414,30.585164
Israel,2021,10493289,34.851612,31.046051
Saudi Arabia,2021,10230231,45.079162,23.885942
Illinois,2021,10230000,-89.398528,40.633125
Morocco,2021,9793139,-7.09262,31.791702
Bangladesh,2021,9320000,90.356331,23.684994
Ohio,2021,8970000,-82.907123,40.417287
Argentina,2021,8820691,-63.616672,-38.416097
New Jersey,2021,8000000,-74.405661,40.058324
Michigan,2021,7740000,-85.602364,44.314844
North Carolina,2021,7520000,-79.0193,35.759573
Virginia,2021,7300000,-78.656894,37.431573
Massachusetts,2021,6930000,-71.382437,42.407211
Georgia,2021,6840000,-82.907123,32.157435
Hungary,2021,6714425,19.503304,47.162494
Washington,2021,6460000,-120.740139,47.751074
Netherlands,2021,6100000,5.291266,52.132633
Colombia,2021,6096661,-74.297333,4.570868
Romania,2021,5781222,24.96676,45.943161
Arizona,2021,5410000,-111.093731,34.048928
Maryland,2021,5270000,-76.641271,39.045755
Wisconsin,2021,4990000,-88.787868,43.78444
Colorado,2021,4920000,-105.782067,39.550051
Minnesota,2021,4750000,-94.6859,46.729553
Belgium,2021,4544089,4.469936,50.503887
Indiana,2021,4540000,-85.602364,40.551217
Japan,2021,4440000,138.252924,36.204824
Tennessee,2021,4370000,-86.580447,35.517491
Missouri,2021,4290000,-91.831833,37.964253
South Korea,2021,4136581,127.766922,35.907757
Portugal,2021,3776637,-8.224454,39.399872
Serbia,2021,3757088,21.005859,44.016521
Sweden,2021,3679451,18.643501,60.128161
Pakistan,2021,3629065,69.345116,30.375321
Czechia,2021,3599236,15.472962,49.817492
Austria,2021,3564565,14.550072,47.516231
Connecticut,2021,3540000,-73.087749,41.603221
Greece,2021,3535212,21.824312,39.074208
South Carolina,2021,3460000,-81.163725,33.836081
Oregon,2021,3430000,-120.554201,43.804133
Kentucky,2021,3330000,-84.270018,37.839333
Switzerland,2021,3001029,8.227512,46.818188
Louisiana,2021,2870000,-92.145024,31.244823
Oklahoma,2021,2790000,-97.092877,35.007752
Alabama,2021,2770000,-86.902298,32.318231
Cambodia,2021,2765622,104.990963,12.565679
Iowa,2021,2580000,-93.097702,41.878003
Australia,2021,2554531,133.775136,-25.274398
Nepal,2021,2453512,84.124008,28.394857
Dominican Republic,2021,2325108,-70.162651,18.735693
Philippines,2021,2314377,121.774017,12.879721
Denmark,2021,2299245,9.501785,56.26392
Utah,2021,2260000,-111.093731,39.32098
Nevada,2021,2230000,-116.419389,38.80261
Singapore,2021,2210000,103.819836,1.352083
Puerto Rico,2021,2200000,-66.590149,18.220833
Kazakhstan,2021,2158924,66.923684,48.019573
Kansas,2021,2150000,-98.484246,39.011902
Finland,2021,2108973,25.748151,61.92411
Mongolia,2021,2086853,103.846656,46.862496
Cyprus,2021,2000000,33.429859,35.126413
Uruguay,2021,1997895,-55.765835,-32.522779
Peru,2021,1940000,-75.015152,-9.189967
New Mexico,2021,1940000,-105.032363,34.97273
Norway,2021,1920000,8.468946,60.472024
Arkansas,2021,1910000,-91.831833,35.20105
Ireland,2021,1799190,-8.24389,53.41291
Slovakia,2021,1769603,19.699024,48.669026
Qatar,2021,1762545,51.183884,25.354826
Thailand,2021,1730488,100.992541,15.870032
Malaysia,2021,1707460,101.975766,4.210484
Hong Kong,2021,1662424,114.109497,22.396428
Mississippi,2021,1660000,-89.398528,32.354668
Azerbaijan,2021,1626916,47.576927,40.143105
Nigeria,2021,1615787,8.675277,9.081999
Nebraska,2021,1560000,-99.901813,41.492537
Iran,2021,1485287,53.688046,32.427908
Kuwait,2021,1440000,47.481766,29.31166
Hawaii,2021,1390000,-155.665857,19.898682
Bahrain,2021,1347062,50.637772,25.930414
Maine,2021,1280000,-69.445469,45.253783
Ecuador,2021,1245822,-78.183406,-1.831239
Ethiopia,2021,1220000,40.489673,9.145
West Virginia,2021,1220000,-80.454903,38.597626
New Hampshire,2021,1150000,-71.572395,43.193852
Lithuania,2021,1143351,23.881275,55.169438
Idaho,2021,1130000,-114.742041,44.068202
El Salvador,2021,1110000,-88.89653,13.794185
Sri Lanka,2021,1105342,80.771797,7.873054
Croatia,2021,1078760,15.2,45.1
Myanmar,2021,1040000,95.956223,21.913965
Rhode Island,2021,996123,-71.477429,41.580095
Costa Rica,2021,950000,-83.753428,9.748917
Bulgaria,2021,922371,25.48583,42.733883
Bolivia,2021,879000,-63.588653,-16.290154
Ukraine,2021,858242,31.16558,48.379433
Kenya,2021,853000,37.906193,-0.023559
Vietnam,2021,852000,108.277199,14.058324
Ghana,2021,850000,-1.023194,7.946527
Delaware,2021,831440,-75.52767,38.910832
Montana,2021,801733,-110.362566,46.879682
Panama,2021,758563,-80.782127,8.537981
South Dakota,2021,732173,-99.901813,43.969515
Slovenia,2021,725934,14.995463,46.151241
District of Columbia,2021,665014,-77.033418,38.905985
Egypt,2021,660000,30.802498,26.820553
Zimbabwe,2021,640762,29.154857,-19.015438
Vermont,2021,639833,-72.577841,44.558803
Uzbekistan,2021,600000,64.585262,41.377491
Albania,2021,585693,20.168331,41.153332
North Dakota,2021,582564,-101.002012,47.551493
Alaska,2021,575174,-154.493062,63.588753
Sudan,2021,530000,30.217636,12.862807
Estonia,2021,523899,25.013607,58.595272
Lebanon,2021,509705,35.862285,33.854721
Bhutan,2021,481400,90.433601,27.514162
Tunisia,2021,478755,9.537499,33.886917
Angola,2021,456000,17.873887,-11.202692
Maldives,2021,428831,73.22068,3.202778
Senegal,2021,423451,-14.452362,14.497401
Uganda,2021,395805,32.290275,1.373333
Latvia,2021,385694,24.603189,56.879635
South Africa,2021,381171,22.937506,-30.559482
Wyoming,2021,370014,-107.290284,43.075968
Malta,2021,359000,14.375416,35.937496
Niger,2021,355000,8.081666,17.607789
Rwanda,2021,350400,29.873888,-1.940278
Belarus,2021,328000,27.953389,53.709807
Oman,2021,326000,55.923255,21.512583
Malawi,2021,319000,34.301525,-13.254308
New Zealand,2021,305000,174.885971,-40.900557
Iraq,2021,298000,43.679291,33.223191
Venezuela,2021,250000,-66.58973,6.42375
Afghanistan,2021,240000,67.709953,33.93911
Cote d'Ivoire,2021,235747,-5.54708,7.539989
Luxembourg,2021,227000,6.129583,49.815273
Palestine,2021,214000,35.2332,31.9522
Guatemala,2021,204328,-90.230759,15.783471
Tajikistan,2021,192000,71.276093,38.861034
Iceland,2021,184304,-19.020835,64.963051
Laos,2021,184000,102.495496,19.85627
Moldova,2021,182717,28.369885,47.411631
Guinea,2021,173623,-9.696645,9.945587
Guyana,2021,153000,-58.93018,4.860416
Paraguay,2021,143000,-58.443832,-23.442503
Guam,2021,141105,144.793732,13.444304
Jamaica,2021,135000,-77.297508,18.109581
Nicaragua,2021,135000,-85.207229,12.865416
Seychelles,2021,127721,55.491977,-4.679574
Somalia,2021,118000,46.199616,5.152149
Mauritius,2021,117000,57.552152,-20.348404
Macao,2021,114572,113.543873,22.198745
Montenegro,2021,110000,19.37439,42.708678
Comoros,2021,108000,43.872219,-11.875001
Bosnia and Herzegovina,2021,106000,17.679076,43.915886
Taiwan,2021,91002,120.960515,23.69781
Aruba,2021,80258,-69.968338,12.52111
Zambia,2021,77348,27.849332,-13.133897
Equatorial Guinea,2021,75518,10.267895,1.650801
Barbados,2021,75452,-59.543198,13.193887
Isle of Man,2021,75013,-4.548056,54.236107
Algeria,2021,75000,1.659626,28.033886
Gibraltar,2021,73476,-5.345374,36.137741
Cayman Islands,2021,69772,-80.566956,19.513469
Liberia,2021,69000,-9.429499,6.428055
Virgin Islands,2021,65578,64.618103,18.436539
Sierra Leone,2021,64966,-11.779889,8.460555
Trinidad and Tobago,2021,59586,-61.222503,10.691803
Honduras,2021,57639,-86.241905,15.199999
Mozambique,2021,57305,35.529562,-18.665695
Georgia,2021,54687,43.356892,42.315407
Fiji,2021,50000,179.414413,-16.578193
Mali,2021,49903,-3.996166,17.570692
Botswana,2021,49882,24.684866,-22.328474
Belize,2021,47675,-88.49765,17.189877
Suriname,2021,43888,-56.027783,3.919305
Northern Mariana Islands,2021,43058,145.7065,15.1064
American Samoa,2021,39666,-170.702042,-14.275632
Federated States of Micronesia,2021,37575,150.5508,7.4256
Namibia,2021,36417,18.49041,-22.95764
San Marino,2021,34011,12.457777,43.94236
Dominica,2021,32008,-61.370976,15.414999
Antigua and Barbuda,2021,29754,-61.796428,17.060816
Andorra,2021,28881,1.601554,42.546245
Guinea-Bissau,2021,28800,-15.180413,11.803749
Marshall Islands,2021,28404,171.184478,7.131474
Kyrgyzstan,2021,27858,74.766098,41.20438
Bahamas,2021,25692,-77.39628,25.03428
Marshall Islands,2021,25394,171.184478,7.131474
Saint Lucia,2021,24985,-60.978893,13.909444
Monaco,2021,24390,7.412841,43.750298
Kosovo,2021,22096,20.902977,42.602636
Gambia,2021,20922,-15.310139,13.443182
Republic of Palau,2021,20625,134.58252,7.51498
Grenada,2021,17000,-61.604171,12.262776
Lesotho,2021,16000,28.233608,-29.609988
Saint Vincent and the Grenadines,2021,14526,-61.287228,12.984305
Greenland,2021,14278,-42.604303,71.706936
Liechtenstein,2021,13829,9.555373,47.166
Brunei,2021,11690,114.727669,4.535277
Cameroon,2021,11000,12.354722,7.369722
Djibouti,2021,10246,42.590275,11.825138
Sao Tome and Principe,2021,9724,6.613081,0.18636
Gabon,2021,8897,11.609444,-0.803689
Mauritania,2021,7038,-10.940835,21.00789
Samoa,2021,5880,-172.104629,-13.759029
Solomon Islands,2021,4890,160.156194,-9.64571
Papua New Guinea,2021,2900,143.95555,-6.314993
Timor,2021,2629,125.727539,-8.874217
Syria,2021,2500,38.996815,34.802075
